TxID,Method,Sender,TxHash,StartTime,EndTime,LatencyMs,BlockNumber,Status
P13_ApproveLoan_5,approveLoan,0x6AD1130f2f9095C0f848D0B73ff3b4CCd352651D,0x9da910647da2b596e071ace4af1e4060495abda0fbddfbb8022149feaf0f322d,36566.14554399997,39679.39794399962,3113.25,5350,SUCCESS
P9_P10_ReqAccess_7,requestUserAccess,0x6AD1130f2f9095C0f848D0B73ff3b4CCd352651D,0xaa4277511aef8245896739fa1c1faf4518d951be5bf15f104d18e6ca0fcb2a9c,36567.6819039993,39679.6921040006,3112.01,5350,SUCCESS
P11_GrantPersonal_5,grantAccess,0xddcaa4939bf40ef1117840ff0c6f12c7b71236e1,0xc3eabbcb554cd54650768bcce11084a301276757bd2a6bab8c74293f532faa2a,36569.519816000015,39679.95203800127,3110.43,5350,SUCCESS
P11_GrantPersonal_7,grantAccess,0xddcaa4939bf40ef1117840ff0c6f12c7b71236e1,0x641311418dcee5b98344a2a340042d26d871ee92edfae04a8d71f6e12d10ab0e,36577.06046099961,39680.181956999004,3103.12,5350,SUCCESS
P13_ApproveLoan_6,approveLoan,0x6AD1130f2f9095C0f848D0B73ff3b4CCd352651D,0x51d52ce3ee90b979467739c7d70fb0a03442cf75a5279f7ded16746775217c36,36578.55808600038,39680.34597000107,3101.79,5350,SUCCESS
P11_GrantPersonal_6,grantAccess,0xa3e3e590b9facd32460a2ff3783557c504e484e1,0x51d2173e2aee630fc941434ea03cd96448e4c10204bc94ff43e9d44a85909486,36579.86932799965,39684.47386899963,3104.60,5350,SUCCESS
P13_ApproveLoan_7,approveLoan,0x6AD1130f2f9095C0f848D0B73ff3b4CCd352651D,0xd2fe43f8a9f733403ac7ce627033299846105ca61dcdbe37308b65f1ed7a4ce7,36581.35585800186,39684.815535999835,3103.46,5350,SUCCESS
P11_GrantFinancial_8,grantAccess,0xa3e3e590b9facd32460a2ff3783557c504e484e1,0x9921478e34a4656e330cb87a8682a30e5e17436b261fc9c05288649def0fef00,36582.74485100061,39685.21254000068,3102.47,5350,SUCCESS
P11_GrantFinancial_7,grantAccess,0xddcaa4939bf40ef1117840ff0c6f12c7b71236e1,0x0901c4b8811497ebcc52f457b9dc01a0ebe61cd5f61e643140329b443cbd464c,36584.14083199948,39685.47809899971,3101.34,5350,SUCCESS
P11_GrantFinancial_9,grantAccess,0xddcaa4939bf40ef1117840ff0c6f12c7b71236e1,0x652348f3dbd1f345ccf2cf25ed2958d3db859fd2a29d405a1a8355c10a92dcd4,36589.80410500243,39689.15462899953,3099.35,5350,SUCCESS
P9_P10_ReqAccess_9,requestUserAccess,0x6AD1130f2f9095C0f848D0B73ff3b4CCd352651D,0xe0df7829162d7f730678506e4bb3d05ca568ea52a82fd47a4a8773cf502d9b94,36585.545083999634,39689.48435200006,3103.94,5350,SUCCESS
P13_ApproveLoan_8,approveLoan,0x6AD1130f2f9095C0f848D0B73ff3b4CCd352651D,0xa8e665b742f6ddb3afb22a0131da43ea83f21910543a2287823e41c4b276d6a9,36587.06465199962,39689.66739100218,3102.60,5350,SUCCESS
P11_GrantPersonal_8,grantAccess,0xa3e3e590b9facd32460a2ff3783557c504e484e1,0x4de1d985c01cc156b0fb5294044dc5bae9ee1d5387415831c7addb3b77d328d9,36588.4257449992,39690.07122300193,3101.65,5350,SUCCESS
P11_GrantFinancial_10,grantAccess,0xa3e3e590b9facd32460a2ff3783557c504e484e1,0x8971ffdc676ad48c69a07d9611085ee8544f4f6ef42ae04151218a0d5a7922e4,36603.93296400085,39691.159949000925,3087.23,5350,SUCCESS
P13_ApproveLoan_10,approveLoan,0x6AD1130f2f9095C0f848D0B73ff3b4CCd352651D,0x735cfd6658bd11f98b27c1ddb283021560dae62e9f8ce80d389e5e575645b6d9,36602.52083399892,39691.37335399911,3088.85,5350,SUCCESS
P13_ApproveLoan_9,approveLoan,0x6AD1130f2f9095C0f848D0B73ff3b4CCd352651D,0xb83d6272da34066e0bdd83be3aaf380eabc4f41ca6594dd0703c370671a458bf,36599.93014800176,39691.554641999304,3091.62,5350,SUCCESS
