TxID,Method,Sender,TxHash,StartTime,EndTime,LatencyMs,BlockNumber,Status,EstimatedGas,GasUsed,BlockSize
P11_GrantPersonal_0,grantAccess,0xb38B4E1213c062905FC1A5CD17881382deDF8997,0x6994799cd54dc605e93bb4ab110c7d968a4858d045a3eb7a867615fe727762b1,8309.588381,10431.737127,2122.15,1057,SUCCESS,63710,63710,22553
P9_P10_ReqAccess_0,requestUserAccess,0xF4b7b68285094f8d2Fe598D4f735a59BCaB32bB9,0xb7aedca799c3011452cbb530317d5a3bf50673968a8585ee201ba4999ccefab5,8312.346901,10432.457039,2120.11,1057,SUCCESS,48835,48835,22553
P9_P10_ReqAccess_2,requestUserAccess,0xF4b7b68285094f8d2Fe598D4f735a59BCaB32bB9,0x3b5525ea843c10acc64e4e06374a3fcdeb79a52aedaf510a00ea96de7f0dd2a9,8330.523731,10437.05046,2106.53,1057,SUCCESS,48835,48835,22553
P11_GrantFinancial_0,grantAccess,0xb38B4E1213c062905FC1A5CD17881382deDF8997,0x0dadb95363125a63b2acbc1ad4c0a1da28dbc53da99fcd322d1c465e4f0d77c4,8325.320697,10434.483335,2109.16,1057,SUCCESS,63722,63722,22553
P13_ApproveLoan_0,approveLoan,0xF4b7b68285094f8d2Fe598D4f735a59BCaB32bB9,0xaf19a4be1d76a77b9d5393dd946c2676255e06ca26d3933d09d1d3cefea6e679,8327.70807,10435.008528,2107.30,1057,SUCCESS,259804,259804,22553
P13_ApproveLoan_2,approveLoan,0xF4b7b68285094f8d2Fe598D4f735a59BCaB32bB9,0x5e55aa0e3d88b06bc9ade8bf54b20ed97812294aa9b381c6317a47f33fc33c84,8363.251288,10472.957194,2109.71,1057,SUCCESS,259804,259804,22553
P13_ApproveLoan_6,approveLoan,0xF4b7b68285094f8d2Fe598D4f735a59BCaB32bB9,0x1ce13d7daca250dac551dc0820cbe2f5a32a1653381697047001ba5fec964517,8361.810187,10473.528451,2111.72,1057,SUCCESS,259804,259804,22553
P9_P10_ReqAccess_1,requestUserAccess,0xF4b7b68285094f8d2Fe598D4f735a59BCaB32bB9,0x79f3e82ff90df0c4ff462934d0655c402ba4578906219f4a3a63a6ed3ce09e2b,8364.924035,10473.952524,2109.03,1057,SUCCESS,48835,48835,22553
P11_GrantPersonal_1,grantAccess,0xb2AaBba6EE87642EC287a7A44035dC0d1582C628,0x67d880b7ba8d73f3393ca63e78adbb7af76f86810386e3a3bc71dee172527e40,8366.68946,10476.670643,2109.98,1057,SUCCESS,63710,43810,22553
P13_ApproveLoan_5,approveLoan,0xF4b7b68285094f8d2Fe598D4f735a59BCaB32bB9,0x06bf9a0aba494efd8155b12f212fae324eac2a74b869164b4ff429e381233d6d,8368.510933,10476.92363,2108.41,1057,SUCCESS,259804,259804,22553
P13_ApproveLoan_12,approveLoan,0xF4b7b68285094f8d2Fe598D4f735a59BCaB32bB9,0xa505708a29e4be72f6da77b6c653e8ad676f7060e069647139d70595d65a837c,8372.181884,10480.814425,2108.63,1057,SUCCESS,259804,259804,22553
